Date,Description,Original Description,Category,Amount,Status
2026-08-07,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4D01",Health & Fitness,-40.76,Posted
2026-08-07,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4V01",Health & Fitness,-12.31,Posted
2026-08-07,"Chill Zone","CHILL ZONE 6             KILLEEN      TX",Shopping,-12.98,Posted
2026-08-07,"Chaparral","CHAPARRAL RD KILLEEN     KILLEEN      TX",Gas,-5.15,Posted
2026-08-05,"Zelle Transfer to Caleb","Zelle: Caleb",Transfer,-260.00,Posted
2026-08-05,"Zelle Transfer to Peta-gay Jones","Zelle: PETA-GAY JONES",Transfer,-157.00,Posted
2026-08-05,"Nyammingz Sweet Tre Killeen","SQ *NYAMMINGZ SWEET TRE  Killeen      TX",Fast Food,-10.81,Posted
2026-08-05,"Chaparral","CHAPARRAL RD KILLEEN     KILLEEN      TX",Gas,-6.47,Posted
2026-08-05,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-3.00,Posted
2026-08-04,"PayPal","PAYPAL           PURCHASE   ***********AMES",Uncategorized,-108.24,Posted
2026-08-04,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-2500.00,Posted
2026-08-04,"Killeen","A738681                  KILLEEN      TX",Cash,-103.00,Posted
2026-08-04,"City of Killeen","CITY OF KILLEEN UTILITY  254-5017730  TX",Utilities,-78.03,Posted
2026-08-04,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.00,Posted
2026-08-03,"BSI Financial","BSI FINANCIAL SE BSI FINANC ***********8360",Mortgage & Rent,-715.29,Posted
2026-08-03,"Geico","GEICO            RETRY PYMT ***********3162",Auto & Transport,-274.48,Posted
2026-08-03,"T-Mobile","T-MOBILE         HANDSET    ***********9216",Mobile Phone,-253.95,Posted
2026-08-03,"Affirm","AFFIRM.COM PAYME AFFIRM.COM ***********C0V0",Financial,-193.22,Posted
2026-08-03,"Planet Fitness","PLANET FITNESS S IClub Fees ***********4285",Gym,-53.04,Posted
2026-08-03,"Amazon","AMAZON MKTPL*5N2NV1RO0   Amzn.com/billWA",Credit Card Payment,-248.53,Posted
2026-08-03,"Star Mart","Star Mart 13             KILLEEN      TX",Groceries,-103.86,Posted
2026-08-03,"Amazon","AMAZON MKTPL*5N43U2VZ0   Amzn.com/billWA",Credit Card Payment,-54.10,Posted
2026-08-03,"Amazon","AMAZON MKTPL*5N06J5IG2   Amzn.com/billWA",Credit Card Payment,-42.79,Posted
2026-08-03,"Regal","REGAL KILLEEN 14  1636   KILLEEN      TX",Movies & Dvds,-34.07,Posted
2026-07-31,"Ford Motor Credit","Ford Credit BILL PMT          621200D0FRHI",Auto Payment,-1459.84,Posted
2026-07-31,"Amazon","AMAZON.COM               SEATTLE      WA",Credit Card Payment,-29.21,Posted
2026-07-30,"Bank of America Home Loan","Bank of America Home Loans BIL621100H07HRY",Mortgage Payment,-406.91,Posted
2026-07-30,"Title Boxing Club","TITLE BOXING  CLUB       SANTA MONICA CA",Entertainment,-139.64,Posted
2026-07-30,"Tommy's Express Car Wash","TOMMYS-EXPRESS           TOMMYS-EXPRESMI",Service & Parts,-50.98,Posted
2026-07-30,"YouTube Premium","GOOGLE *YouTubePremium   Mountain ViewCA",Entertainment,-29.22,Posted
2026-07-30,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-2.95,Posted
2026-07-30,"Health Human Payrollreg","HEALTH HUMAN SVC PAYROLLREG ***********1SP1",Paycheck,4275.17,Posted
2026-07-29,"Star Mart","Star Mart 13             Killeen      TX",Cash,-202.95,Posted
2026-07-29,"American Home Shield","AHS AHS.COM              AHS.COM      TN",Home,-138.99,Posted
2026-07-29,"Amazon","AMAZON.COM               SEATTLE      WA",Credit Card Payment,-75.04,Posted
2026-07-29,"Star Mart","STAR MART #11            KILLEEN      TX",Gas,-30.00,Posted
2026-07-29,"ATM Fee Rebate","ATM REBATE",Atm Fee,2.95,Posted
2026-07-29,"US Department of Veterans Affairs","VACP TREAS 310   XXVA BENEF ***********3600",Income,3938.58,Posted
2026-07-28,"OD FEE - ITEM PAID - RECURRING DEB CARD PUR","OD FEE - ITEM PAID - RECURRING DEB CARD PUR",Fees & Charges,-29.00,Posted
2026-07-27,"Xbox","MICROSOFT*XBOX GAME PA   MICROSOFT.COMWA",Electronics & Software,-24.88,Posted
2026-07-24,"OD FEE - ITEM PAID - ACH - AFFIRM.COM PAYMEAFFIRM.CO","OD FEE - ITEM PAID - ACH - AFFIRM.COM PAYMEAFFIRM.CO",Financial,-29.00,Posted
2026-07-23,"Affirm","AFFIRM.COM PAYME AFFIRM.COM ***********H9X2",Financial,-191.61,Posted
2026-07-21,"Bluehost.com","WEB*BLUEHOST.COM         888-4014678  UT",Shopping,-15.93,Posted
